,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6
WS1,8.589579822710009,5.88018900203667,5.701581062453615,4.107418119216684,5.674238652562104,5.890407607776816
WS2,8.215270367243578,5.7113790224032615,6.067917294030313,3.800169141381538,5.610372946207539,5.88195765004226
WS3,8.984562684677122,6.165594297352345,5.863236348213338,4.34978782009899,5.8902016655413005,6.15145274725274
WS4,8.66794833262975,6.02305865580449,6.382121196055565,4.046823219281247,5.8825010878535835,6.184223922231614
WS5,9.444940270156167,6.40505519348269,6.07768550524865,4.584746610716596,6.170210968564759,6.352975993237547
WS6,9.157258421274824,6.315903258655794,6.683089598133813,4.250589520120487,6.081742216220294,6.4209473372781005
WS7,9.910404727733233,6.76048940936865,6.483178560067821,4.786702819023045,6.5511135118913755,6.685280726965321
WS8,9.519365681722299,6.5825299389001986,7.065309617219774,4.5366966860339755,6.395075099407319,6.6613246830093065
WS9,10.48819717180242,7.177208146639535,7.017371010497261,5.1707465031203,6.940997674244104,7.057551901944244
WS10,10.039985985647894,6.962934215885942,7.672413105715206,5.066233161179272,6.777240003000948,7.078803465765005
WS11,10.766093583790633,7.108182484725042,8.172981868306689,5.494303421562307,7.145639882961951,7.302325021132709
WS12,10.539078894048133,7.163354378818727,8.143252783373995,5.482686894770828,7.155246004951606,7.318203043110743
WD1,232.8363866610384,335.0521384928717,286.19266249602373,147.5628362384334,88.6314802310751,34.906424344885885
WD2,225.89269734065007,332.9541751527495,280.4012299862157,137.87798579728857,88.6999024683022,39.15917159763313
WD3,234.3928661882651,338.9260692464359,287.0072102640229,143.91919517968583,91.24765548803362,37.85587489433643
WD4,222.00113972140144,330.3450101832994,279.2898950270385,142.73434473854098,86.79420811763823,38.59543533389687
WD5,234.34639088222877,336.0890020366599,288.0574700455943,149.88046051215838,89.59291769825194,35.209213863060015
WD6,227.34466019417476,337.09735234215884,282.1553387763758,140.65719819238217,90.5391252156951,39.495519864750634
WD7,232.53026593499368,334.1635437881874,285.68805004771497,157.60232408005166,92.3915522544827,36.94615384615385
WD8,227.53528915154072,336.6700610997963,285.3343229774149,144.69098343017,91.27706504614,39.504057480980556
WD9,234.6295483326298,335.44052953156825,287.8213338988442,166.6612868517323,95.48945907419912,36.73431952662722
WD10,228.91308569016462,335.3997963340122,284.424875410879,155.3853023455993,92.38840123039988,39.88334742180896
WD11,235.04685521317012,337.29124236252545,284.2139751882091,164.56993759414675,97.47062795408507,41.06644125105664
WD12,231.99848037146475,334.8881873727088,283.46856112819427,163.29825693996128,96.08687823542651,41.97700760777684
AT0,7.295004643309436,6.580936863543805,6.692228819849434,7.143397891112567,5.4120871783329605,10.70059678782753
AT1,7.252588011819371,6.373010183299365,6.6444565793659125,7.125281902302549,5.3400472653612265,10.020157227387976
AT2,7.197189953566892,6.343808553971515,6.577554872229864,7.153487196040434,5.359615875159407,9.976127641589178
AT3,7.148435204727747,6.30897759674135,6.540922489661761,7.226137292877127,5.387612724135331,9.917459002535969
AT4,7.147080624736159,6.32743991853359,6.549705227441406,7.386661286851749,5.558845374746792,9.852551986475058
AT5,6.815276065850605,5.951272912423614,6.201331778178335,7.354053152571546,5.39143146522619,9.579939983093846
AT6,6.692804558885629,5.789405295315667,6.05314070618174,7.435468043899292,5.479943731712825,9.549846153846175
