,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6
WS1,22.735047303793085,11.310189954493016,11.047748218216089,5.206539461442868,7.771598006441055,5.807190000381725
WS2,20.429903575891764,10.509227203837717,11.642967204611773,5.1037188066404635,7.698861100921685,5.934046192390104
WS3,24.710591435915934,12.189758168637292,11.63259506322164,5.785794264024679,8.033936609838156,6.25564960868083
WS4,22.37501884101319,11.30700281709252,12.75056804989114,5.693682768379369,8.152158775677817,6.42706469116834
WS5,27.31521508812031,13.09275975759676,12.742112445939448,6.427961709272383,8.526633943934343,6.654699384832369
WS6,25.06605842652485,12.6127219134341,14.068352641494148,6.272845697085879,8.700636212354059,6.870547627541725
WS7,29.784767088415286,14.836995085139362,14.649079995048242,7.233656081263962,9.511479800664521,7.348408649480601
WS8,26.725684908400567,13.819784285414318,15.871518308580885,6.918961555574912,9.922996468624387,7.5284563011152725
WS9,33.085603897083324,17.20559824756042,17.90049952564513,8.593515015900287,11.037574546288093,8.877258275562733
WS10,29.2059555230423,15.832965705795843,19.26833983483989,8.315448484207437,12.097852280554585,9.104634282192764
WS11,35.1964180669309,16.973717249234785,23.02882428249197,9.966990512466493,12.134524000558072,10.370700008563162
WS12,33.400409804025045,17.00067236695476,22.22853870046289,9.727411634010949,12.504025781238678,10.647142549690633
WD1,562.6557404154763,172.82596303642987,459.25227277250616,2224.0881097209503,646.5299993168502,429.36473173977663
WD2,782.9978148777815,1392.0184741106764,1491.1524650829417,1504.7125401801466,341.38637529060344,255.6692264672896
WD3,772.4721429518304,180.91671687440487,1134.2803297669036,1577.8840326675952,345.0571345463665,256.39963367105105
WD4,569.9686339325231,196.54951166215054,379.25720328696605,2339.0441296846193,1078.4737779761795,2121.0007400039985
WD5,522.3107567402797,152.26606357913616,337.36276259122707,2005.9998054050393,366.57181658393813,276.58070806399246
WD6,772.5656992492105,340.91168579760597,1283.2531737743484,1408.6962050404686,279.8266691326494,245.23655951921918
WD7,486.37210516799996,155.79663359912038,321.67765039664124,2282.5176143118197,987.4057239483765,1398.7346943951438
WD8,769.0752247147988,268.531981866301,537.3004114159256,1484.8723237287468,284.76228982477016,250.35297195375045
WD9,555.8693451039409,180.86048780265472,341.0564101399312,2232.9443377821162,955.6654238445367,433.6068954495028
WD10,621.1987016520867,253.69447948591122,608.441625050767,1871.166171559291,419.3780197201581,302.8375196079167
WD11,691.7361640725087,535.3545576332418,1244.1094589682014,2028.2225374544105,775.1807286047379,453.7940465953704
WD12,653.9769490182421,283.98321753260973,1145.727298873233,1980.7858852644317,751.5092583285898,458.14453851291324
AT0,19.880263837624405,25.657443448854774,21.80118962356374,36.40965923755471,69.79831905272387,20.70404678220304
AT1,16.46642097298295,18.995757854856546,16.800276563093146,31.399119940968156,57.08797348966267,15.44213477957222
AT2,16.909631678635915,19.314106534944045,17.0446342540143,32.82146351877515,58.26455729541415,15.508316299540216
AT3,17.029134614928388,19.249643933089388,16.91070568126615,33.95550637348683,59.00177951957384,15.365268020764246
AT4,16.491490653721616,18.183001654059073,16.01218303080931,34.245498773241344,57.943922743871205,14.722848495690934
AT5,17.321238914455797,18.948775951170852,16.667257950462943,37.50300731924445,62.64877289072958,15.623525476150874
AT6,16.760805946435475,17.78381716509721,15.73060684753797,37.284138137739184,61.29781172402436,16.077192621523647
